idx1,idx2,similarity,nama_1,nama_2,final_score,predicted_label,budget_diff,kl_diff,satker_diff,lokasi_diff
1,2411,0.8025786625932425,Belanja Perjalanan Dinas Biasa - laporan keuangan,Belanja Perjalanan Dinas Biasa - Reviu Laporan Keuangan,0.8815471975559455,mirip,0.7490909090909091,0,0,0
22,2334,0.8073970807710833,Belanja Perjalanan Dinas Biasa Kebijakan Kesejahteraan Rakyat Bidang Sosial,Belanja Perjalanan Dinas Biasa Kebijakan Kesejahteraan Rakyat Bidang Pendidikan,0.8844382484626498,mirip,0.9068621637779373,0,0,0
23,1149,1.0,Belanja Perjalanan Dinas Paket Meeting Luar Kota,Belanja Perjalanan Dinas Paket Meeting Luar Kota,1.0,mirip,0.8226086956521739,0,0,0
39,2300,0.960885330538586,Belanja Perjalanan Dinas Biasa - perjalanan dinas,Belanja Perjalanan Dinas Biasa - Perjalanan Dinas Biasa,0.9765311983231516,mirip,0.9620952882337457,0,0,0
54,1200,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.75,0,0,1
54,1182,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.75,0,0,0
54,2374,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.9230769230769231,0,0,1
59,2470,1.0,Perjalanan Dinas Biasa,Perjalanan Dinas Biasa,1.0,mirip,0.5667008196721312,0,0,0
67,2474,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),1.0,mirip,0.9179995829982426,0,0,0
67,99,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),1.0,mirip,0.8937106675417937,0,0,0
67,2213,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),1.0,mirip,0.8607978965464934,0,0,0
74,2938,1.0,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,1.0,mirip,0.7368421052631579,0,0,0
74,2278,1.0,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,Belanja Perjalanan Dinas Paket Meeting Dalam Kota,1.0,mirip,0.8334794040315513,0,0,0
77,1144,1.0,Belanja Perjalanan Dinas Dalam Kota,Belanja Perjalanan Dinas Dalam Kota,1.0,mirip,0.6666666666666666,0,0,0
81,1200,0.9147313061026549,Uang Harian Perjalanan Dinas Dalam Negeri - Dalam Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,0.9488387836615928,mirip,0.8175675675675675,0,0,0
81,2374,0.9147313061026549,Uang Harian Perjalanan Dinas Dalam Negeri - Dalam Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,0.9488387836615928,mirip,0.9438669438669439,0,0,0
83,1200,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.55,0,0,1
83,1182,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.55,0,0,0
83,2374,1.0,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,Uang Harian Perjalanan Dinas Dalam Negeri - Luar Kota -  Sumatera Utara,1.0,mirip,0.8615384615384616,0,0,1
84,2972,1.0,"Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara","Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara",1.0,mirip,0.904238704551059,0,0,0
84,2468,1.0,"Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara","Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara",1.0,mirip,0.8909090909090909,0,0,1
84,2321,1.0,"Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara","Biaya Penginapan Perjalanan Dinas Dalam Negeri - Pejabat Eselon IV/ Golongan III, II Dan I -  Sumatera Utara",1.0,mirip,0.85,0,0,1
86,2470,1.0,Perjalanan Dinas Biasa,Perjalanan Dinas Biasa,1.0,mirip,0.5865357468123862,0,0,0
87,2470,1.0,Perjalanan Dinas Biasa,Perjalanan Dinas Biasa,1.0,mirip,0.7272540983606557,0,0,0
89,2371,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),Belanja Perjalanan Dinas Biasa (Cabang Dinas V),1.0,mirip,0.7778158556088646,0,0,1
89,2989,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),Belanja Perjalanan Dinas Biasa (Cabang Dinas V),1.0,mirip,0.787152549792077,0,0,1
89,2370,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),Belanja Perjalanan Dinas Biasa (Cabang Dinas V),1.0,mirip,0.926959055762724,0,0,1
89,2210,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),Belanja Perjalanan Dinas Biasa (Cabang Dinas I),1.0,mirip,0.9068263473053892,0,0,0
89,2922,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas I),Belanja Perjalanan Dinas Biasa (Cabang Dinas I),1.0,mirip,0.9380454863986749,0,0,0
98,2929,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas III),Belanja Perjalanan Dinas Biasa (Cabang Dinas III),1.0,mirip,0.8344618674269423,0,0,0
98,2369,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas III),Belanja Perjalanan Dinas Biasa (Cabang Dinas III),1.0,mirip,0.7860104422604423,0,0,0
98,2993,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas III),Belanja Perjalanan Dinas Biasa (Cabang Dinas III),1.0,mirip,0.7646290270498523,0,0,0
99,2214,1.0,Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),Belanja Perjalanan Dinas Biasa (Cabang Dinas IV),1.0,mirip,0.8937106675417937,0,0,0
137,277,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Diseminasi Laboratorium UPTD PSMB di Kabupaten Morowali/Kabupaten Lainnya,Belanja Perjalanan Dinas Biasa - Dalam Rangka Diseminasi Laboratorium UPTD PSMB di Kabupaten Morowali/Kabupaten Lainnya,1.0,mirip,0.5675675675675675,0,0,0
169,618,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Kegiatan Surveilance Laboratorium Pengujian UPTD PSMB di Palu,Belanja Perjalanan Dinas Biasa - Dalam Rangka Kegiatan Surveilance Laboratorium Pengujian UPTD PSMB di Palu,1.0,mirip,0.730909090909091,0,0,0
179,271,1.0,Belanja Perjalanan Dinas Biasa (biaya Uang Harian),Belanja Perjalanan Dinas Biasa ( Biaya Uang Harian ),1.0,mirip,0.7708108108108108,0,0,1
191,326,1.0,Belanja Perjalanan Dinas Biasa (P5TK),Belanja Perjalanan Dinas Biasa (P5TK),1.0,mirip,0.8816923967035448,0,0,0
191,636,1.0,Belanja Perjalanan Dinas Biasa (P5TK),Belanja Perjalanan Dinas Biasa (P5TK),1.0,mirip,0.6836141344863575,0,0,0
192,193,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6364702515165688,0,0,0
192,381,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.7421309449846772,0,0,0
192,520,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6534683876552345,0,0,0
192,194,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.8806640093262874,0,0,0
192,521,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.8806640093262874,0,0,0
193,194,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6717297795529611,0,0,0
193,521,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6717297795529611,0,0,0
194,381,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.537222523010287,0,0,0
194,520,1.0,Belanja Perjalanan Dinas Biasa (Biro PBJ),Belanja Perjalanan Dinas Biasa (Biro PBJ),1.0,mirip,0.6556274047662215,0,0,0
276,309,1.0,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,Belanja Perjalanan Dinas Biasa - Dalam Rangka Surveilans Reakreditasi Laboratorium Kalibrasi UPTD PSMB di Palu,1.0,mirip,0.6636363636363637,0,0,0
