No,Paket,Pagu,Tipe Swakelola,Pemilihan,klpd,Satuan Kerja,Lokasi,ID
101,Belanja Perjalanan Dinas Biasa,900000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota)",42749974
102,Belanja Perjalanan Dinas Biasa - laporan keuangan,27600000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42824125
103,Belanja Perjalanan Dinas Biasa - EVALUASI SAKIP PERANGKAT DAERAH DAN KAB/KOTA,126030000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42829915
104,Belanja Perjalanan Dinas Biasa - TLHP Inspektorat Provinsi Sumatera Utara terhadap Pemerintah Kabupaten/Kota,702860000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830735
105,Belanja Perjalanan Dinas Biasa - TLHP Inspektorat Provinsi Sumatera Utara terhadap Perangkat Daerah dan BUMD,75000000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42830824
106,Belanja Perjalanan Dinas Dalam Negeri Kegiatan Pengawasan Kode Etik DPRD,1080727000,1,26-Jan,Provinsi Sumatera Utara,Sekretariat DPRD,"Sumatera Utara, Medan (Kota)",42901406
107,Belanja Perjalanan Dinas Biasa,6750000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota)",43043988
108,Belanja Perjalanan Dinas Biasa,301092000,1,26-Jan,Provinsi Sumatera Utara,Biro Perekonomian,"Sumatera Utara, Medan (Kota)",43054317
109,Belanja Perjalanan Dinas Biasa sub kegiatan Pembinaan Perpustakaan pada Satuan Pendidikan Menengah dan Pendidikan Khusus di Seluruh Wilayah Provinsi sesuai dengan Standar Nasional Perpustakaan,73200000,1,26-Mar,Provinsi Sumatera Utara,Dinas Perpustakaan dan Arsip,"Sumatera Utara, Medan (Kota)",43064289
110,Belanja Perjalanan Dinas Biasa,292066000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181373
111,Belanja Perjalanan Dinas Biasa,208816000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181389
112,Belanja perjalanan dinas paket meeting luar kota,21117000,1,26-Mar,Provinsi Sumatera Utara,Badan Penghubung,"DI Yogyakarta, Yogyakarta (Kota)",43192742
113,Belanja Perjalanan Dinas Biasa Pendapingan BLUD,75348000,1,26-Jan,Provinsi Sumatera Utara,UPTD Khusus Rumah Sakit Umum Haji Medan,"Sumatera Utara, Deli Serdang (Kab.)",43210040
114,Belanja Perjalanan Dinas Biasa sub kegiatan Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD,339199000,1,26-Jan,Provinsi Sumatera Utara,Dinas Perpustakaan dan Arsip,"Sumatera Utara, Medan (Kota)",43243624
115,Belanja Perjalanan Dinas Biasa,15550000,1,26-Apr,Provinsi Sumatera Utara,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga Berencana","Sumatera Utara, Medan (Kota)",43255047
116,Belanja Perjalanan Dinas Biasa,234111000,1,26-Mar,Provinsi Sumatera Utara,Badan Kesatuan Bangsa dan Politik,"Sumatera Utara, Medan (Kota)",43255855
117,Belanja Perjalanan Dinas Biasa,152311000,1,26-Jan,Provinsi Sumatera Utara,Dinas Kesehatan,"Sumatera Utara, Medan (Kota)",43173052
118,Belanja Perjalanan Dinas Biasa,147567000,1,26-Jan,Provinsi Sumatera Utara,Biro Perekonomian,"Sumatera Utara, Medan (Kota)",43177230
119,Belanja Perjalanan Dinas Biasa,135078000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",43181402
120,Belanja Perjalanan Dinas Biasa - Pengembangan Bisnis Berbasis Potensi Desa Koperasi Desa/Kelurahan Merah Putih,100440000,1,26-Feb,Provinsi Sumatera Utara,Dinas Koperasi dan Usaha Kecil Menengah,"Sumatera Utara, Medan (Kota)",43260395
121,Belanja Perjalanan Dinas Biasa,100308000,1,26-Jan,Provinsi Sumatera Utara,Biro Organisasi,"Sumatera Utara, Medan (Kota)",43269599
122,Belanja Perjalanan Dinas Biasa,362008000,1,26-Jan,Provinsi Sumatera Utara,Biro Organisasi,"Sumatera Utara, Medan (Kota)",43269602
123,Belanja Perjalanan Dinas Biasa Kebijakan Kesejahteraan Rakyat Bidang Sosial,152364000,1,26-Jan,Provinsi Sumatera Utara,Biro Kesejahteraan Rakyat,"Sumatera Utara, Medan (Kota)",43270622
124,Belanja Perjalanan Dinas Paket Meeting Luar Kota,54625000,1,26-Apr,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Medan (Kota)",43270756
125,Belanja Perjalanan Dinas Biasa,162252000,1,26-Feb,Provinsi Sumatera Utara,Dinas Pertanian dan Ketahanan Pangan,"Sumatera Utara, Lainnya",43272236
126,Belanja Perjalanan Dinas Biasa,74600000,1,26-Jan,Provinsi Sumatera Utara,"Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral","Sumatera Utara, Medan (Kota)",43273351
127,Belanja Perjalanan Dinas Biasa,173821000,1,26-Jan,Provinsi Sumatera Utara,Badan Kesatuan Bangsa dan Politik,"Sumatera Utara, Medan (Kota)",43247466
128,Belanja Perjalanan Dinas Dalam Kota,5400000,1,26-Mar,Provinsi Sumatera Utara,Satuan Polisi Pamong Praja,"Sumatera Utara, Medan (Kota)",43240305
129,Belanja Perjalanan Dinas Biasa,40978000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42374586
130,Belanja Perjalanan Dinas Biasa,76250000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42481214
131,Belanja Perjalanan Dinas Biasa,166939000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Riset dan Inovasi  Daerah","Sumatera Utara, Medan (Kota)",42481892
132,Belanja Perjalanan Dinas Biasa,188493000,1,26-Jan,Provinsi Sumatera Utara,Biro Hukum,"Sumatera Utara, Medan (Kota)",42491954
133,Belanja Perjalanan Dinas Biasa,198784000,1,26-Jan,Provinsi Sumatera Utara,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan","Sumatera Utara, Medan (Kota)",42536687
134,Belanja Perjalanan Dinas Biasa,30000000,1,26-Jan,Provinsi Sumatera Utara,Dinas Komunikasi dan Informatika,"Sumatera Utara, Medan (Kota)",42570467
135,Belanja Perjalanan Dinas Paket Meeting Dalam Kota (Penyusunan Dokumen Perencanaan),2280000,1,26-Jan,Provinsi Sumatera Utara,UPTD Khusus Rumah Sakit Jiwa Prof. Dr. M. Ildrem,"Sumatera Utara, Medan (Kota)",42585033
136,Belanja Perjalanan Dinas Biasa,41610000,1,26-Jan,Provinsi Sumatera Utara,Dinas Komunikasi dan Informatika,"Sumatera Utara, Medan (Kota)",42668957
137,Belanja Perjalanan Dinas Biasa,465602000,1,26-Jan,Provinsi Sumatera Utara,Dinas Kesehatan,"Sumatera Utara, Medan (Kota)",42738387
138,Belanja Perjalanan Dinas Biasa,330162000,1,26-Jan,Provinsi Sumatera Utara,Dinas Ketenagakerjaan,"Sumatera Utara, Medan (Kota) | Sumatera Utara, Deli Serdang (Kab.) | Sumatera Utara, Pematang Siantar (Kota) | Sumatera Utara, Labuhan Batu (Kab.) | Sumatera Utara, Padang Sidempuan (Kota) | Sumatera Utara, Sibolga (Kota) | Sumatera Utara, Simalungun (Kab.)",42748878
139,Belanja Perjalanan Dinas Biasa - Koordinasi Penyusunan Dokumen Perencanaan,20250000,1,26-Feb,Provinsi Sumatera Utara,Inspektorat Daerah Provinsi,"Sumatera Utara, Medan (Kota)",42818309
